"Relative Time","Hits"
"00:00","0.25"
"00:08","0"
"00:16","0.25"
"00:24","0"
"00:32","0.25"
"00:40","0"
"00:48","0"
"00:56","1.875"
"01:04","0"
"01:12","2"
"01:20","0"
"01:28","2"
"01:36","0"
"01:44","0"
"01:52","0"
"02:00","0"
"02:08","2.125"
"02:16","0"
"02:24","0"
"02:32","0"
"02:40","0.375"
"02:48","0"
"02:56","0.375"
"03:04","0"
"03:12","0"
"03:20","0"
"03:28","0"
"03:36","0"
"03:44","0.375"
"03:52","0.125"
"04:00","0"
"04:08","0.25"
"04:16","0"
"04:24","0.25"
"04:32","0"
"04:40","0.125"
"04:48","0.125"
"04:56","0"
"05:04","0.125"
"05:12","0"
"05:20","0"
"05:28","1"
