"Relative Time","Throughput"
"00:00","925.25"
"00:08","0"
"00:16","925.25"
"00:24","0"
"00:32","925.25"
"00:40","0"
"00:48","0"
"00:56","6672.875"
"01:04","0"
"01:12","6936"
"01:20","0"
"01:28","7067.125"
"01:36","0"
"01:44","0"
"01:52","0"
"02:00","0"
"02:08","7680.875"
"02:16","0"
"02:24","0"
"02:32","0"
"02:40","3794.625"
"02:48","0"
"02:56","3794.625"
"03:04","0"
"03:12","0"
"03:20","0"
"03:28","0"
"03:36","0"
"03:44","3794.625"
"03:52","485.375"
"04:00","0"
"04:08","1039.25"
"04:16","0"
"04:24","1052.125"
"04:32","0"
"04:40","498.25"
"04:48","485.375"
"04:56","0"
"05:04","553.875"
"05:12","0"
"05:20","0"
"05:28","3986"
