"Relative Time","Throughput"
"00:00","0"
"00:04","4768"
"00:08","0"
"00:12","0"
"00:16","4775"
"00:20","0"
"00:24","4768"
"00:28","0"
"00:32","0"
"00:36","0"
"00:40","0"
"00:44","0"
"00:48","5271.25"
"00:52","0"
"00:56","0"
"01:00","5782.5"
"01:04","0"
"01:08","5793.5"
"01:12","0"
"01:16","807.75"
"01:20","1660.25"
"01:24","0"
"01:28","1954.75"
"01:32","0"
"01:36","1946.75"
"01:40","0"
"01:44","0"
"01:48","4004.5"
"01:52","4067"
"01:56","0"
"02:00","5782.75"
"02:04","0"
"02:08","937"
"02:12","0"
"02:16","1878"
