"Relative Time","Hits"
"00:00","0"
"00:04","0"
"00:08","7.25"
"00:12","6.25"
"00:16","8.75"
"00:20","10.25"
"00:24","13.75"
"00:28","13.75"
"00:32","12.75"
"00:36","15.75"
"00:40","20.75"
"00:44","23.5"
"00:48","15.25"
"00:52","21.25"
"00:56","21.75"
"01:00","23.25"
"01:04","20.5"
"01:08","19.25"
"01:12","14.25"
"01:16","19.75"
"01:20","30.5"
"01:24","23.25"
"01:28","25.5"
"01:32","46.25"
"01:36","17.5"
"01:40","27.25"
"01:44","23.25"
"01:48","25"
"01:52","11"
"01:56","18"
"02:00","15"
"02:04","10.5"
"02:08","4"
"02:12","3.25"
"02:16","1"
