"Relative Time","Throughput"
"00:00","0"
"00:04","0"
"00:08","0"
"00:12","1478.5"
"00:16","3038.5"
"00:20","1560"
"00:24","4800.5"
"00:28","4715.5"
"00:32","1560"
"00:36","6389"
"00:40","4680"
"00:44","7569.5"
"00:48","8105"
"00:52","1560"
"00:56","7488"
"01:00","7644"
"01:04","9122.5"
"01:08","3045.5"
"01:12","5616"
"01:16","905685.8"
"01:20","254416.5"
"01:24","134373.8"
"01:28","393933.5"
"01:32","537225.8"
"01:36","233429.3"
"01:40","8744"
"01:44","5772"
"01:48","6321.5"
"01:52","9285.5"
"01:56","6477.5"
"02:00","1478.5"
"02:04","5385.5"
"02:08","2109.5"
"02:12","2421.5"
"02:16","0"
